01/12/2023,Thứ 6,Miền Bắc,,Giải đặc biệt,12301
01/12/2023,Thứ 6,Miền Bắc,,Giải nhất,78982
01/12/2023,Thứ 6,Miền Bắc,,Giải nhì,"02630 94374"
01/12/2023,Thứ 6,Miền Bắc,,Giải ba,"19187 84917 12364 34641 35984 38101"
01/12/2023,Thứ 6,Miền Bắc,,Giải tư,"0620 6862 5300 7618"
01/12/2023,Thứ 6,Miền Bắc,,Giải năm,"0918 6025 9110 3749 0894 8079"
01/12/2023,Thứ 6,Miền Bắc,,Giải sáu,"074 487 042"
01/12/2023,Thứ 6,Miền Bắc,,Giải bảy,"28 43 32 42"
01/12/2023,Thứ 6,Miền Nam,Vĩnh Long,Giải đặc biệt,010787
01/12/2023,Thứ 6,Miền Nam,Vĩnh Long,Giải nhất,62938
01/12/2023,Thứ 6,Miền Nam,Vĩnh Long,Giải nhì,38187
01/12/2023,Thứ 6,Miền Nam,Vĩnh Long,Giải ba,"21416 10005"
01/12/2023,Thứ 6,Miền Nam,Vĩnh Long,Giải tư,"90144 01237 61395 59414 84550 47718 87640"
01/12/2023,Thứ 6,Miền Nam,Vĩnh Long,Giải năm,1726
01/12/2023,Thứ 6,Miền Nam,Vĩnh Long,Giải sáu,"1931 2872 7349"
01/12/2023,Thứ 6,Miền Nam,Vĩnh Long,Giải bảy,729
01/12/2023,Thứ 6,Miền Nam,Vĩnh Long,Giải tám,88
01/12/2023,Thứ 6,Miền Nam,Bình Dương,Giải đặc biệt,551880
01/12/2023,Thứ 6,Miền Nam,Bình Dương,Giải nhất,57388
01/12/2023,Thứ 6,Miền Nam,Bình Dương,Giải nhì,66835
01/12/2023,Thứ 6,Miền Nam,Bình Dương,Giải ba,"27300 30113"
01/12/2023,Thứ 6,Miền Nam,Bình Dương,Giải tư,"23524 73877 07476 60551 24894 91577 21005"
01/12/2023,Thứ 6,Miền Nam,Bình Dương,Giải năm,9768
01/12/2023,Thứ 6,Miền Nam,Bình Dương,Giải sáu,"0360 5972 6287"
01/12/2023,Thứ 6,Miền Nam,Bình Dương,Giải bảy,442
01/12/2023,Thứ 6,Miền Nam,Bình Dương,Giải tám,27
01/12/2023,Thứ 6,Miền Nam,Trà Vinh,Giải đặc biệt,214903
01/12/2023,Thứ 6,Miền Nam,Trà Vinh,Giải nhất,85730
01/12/2023,Thứ 6,Miền Nam,Trà Vinh,Giải nhì,33616
01/12/2023,Thứ 6,Miền Nam,Trà Vinh,Giải ba,"07341 78529"
01/12/2023,Thứ 6,Miền Nam,Trà Vinh,Giải tư,"57080 50289 60222 67457 05136 74270 88028"
01/12/2023,Thứ 6,Miền Nam,Trà Vinh,Giải năm,8940
01/12/2023,Thứ 6,Miền Nam,Trà Vinh,Giải sáu,"2465 9090 3817"
01/12/2023,Thứ 6,Miền Nam,Trà Vinh,Giải bảy,834
01/12/2023,Thứ 6,Miền Nam,Trà Vinh,Giải tám,87
01/12/2023,Thứ 6,Miền Trung,Gia Lai,Giải đặc biệt,331504
01/12/2023,Thứ 6,Miền Trung,Gia Lai,Giải nhất,71307
01/12/2023,Thứ 6,Miền Trung,Gia Lai,Giải nhì,07057
01/12/2023,Thứ 6,Miền Trung,Gia Lai,Giải ba,"49124 06927"
01/12/2023,Thứ 6,Miền Trung,Gia Lai,Giải tư,"14869 69329 79214 08566 71701 69303 90652"
01/12/2023,Thứ 6,Miền Trung,Gia Lai,Giải năm,1964
01/12/2023,Thứ 6,Miền Trung,Gia Lai,Giải sáu,"9746 3315 8741"
01/12/2023,Thứ 6,Miền Trung,Gia Lai,Giải bảy,558
01/12/2023,Thứ 6,Miền Trung,Gia Lai,Giải tám,54
01/12/2023,Thứ 6,Miền Trung,Ninh Thuận,Giải đặc biệt,000736
01/12/2023,Thứ 6,Miền Trung,Ninh Thuận,Giải nhất,99789
01/12/2023,Thứ 6,Miền Trung,Ninh Thuận,Giải nhì,01620
01/12/2023,Thứ 6,Miền Trung,Ninh Thuận,Giải ba,"02140 42326"
01/12/2023,Thứ 6,Miền Trung,Ninh Thuận,Giải tư,"58344 97731 00785 15418 21396 39244 35309"
01/12/2023,Thứ 6,Miền Trung,Ninh Thuận,Giải năm,3913
01/12/2023,Thứ 6,Miền Trung,Ninh Thuận,Giải sáu,"5285 9513 4584"
01/12/2023,Thứ 6,Miền Trung,Ninh Thuận,Giải bảy,645
01/12/2023,Thứ 6,Miền Trung,Ninh Thuận,Giải tám,44
